Customer_ID,Customer_Name,Gender,Age,Customer_Segment,City,State,Region,Join_Date
1,Anvi Konda,Female,33,Regular,Delhi,Delhi,North,2024-09-25
2,Gagan Sami,Male,61,Premium,Chennai,Tamil Nadu,South,2022-08-26
3,Tejas Kaul,Female,20,Regular,Amritsar,Punjab,North,2021-09-11
4,Rushil Saini,Male,32,Regular,Delhi,Delhi,North,2024-01-24
5,Abeer Dutta,Male,63,New,Amritsar,Punjab,North,2022-08-21
6,Arunima Dugal,Female,55,New,Pune,Maharashtra,West,2025-01-10
7,Harsh Chanda,Male,62,New,Kolkata,West Bengal,East,2022-08-12
8,Hemangini Lalla,Female,27,Premium,Ahmedabad,Gujarat,West,2023-06-09
9,Jeet Radhakrishnan,Male,23,Regular,Hyderabad,Telangana,South,2025-07-28
10,Janaki Handa,Female,40,Regular,Mumbai,Maharashtra,West,2021-12-05
11,Vedant Mann,Female,52,New,Kolkata,West Bengal,East,2025-01-22
12,Harrison Rai,Male,53,Premium,Lucknow,Uttar Pradesh,North,2026-06-18
13,Nicholas Prabhakar,Female,54,Regular,Guwahati,Assam,East,2022-12-04
14,Ekbal Garg,Male,60,New,Bengaluru,Karnataka,South,2023-04-25
15,Nihal Shere,Male,32,New,Hyderabad,Telangana,South,2024-03-16
16,Ekta Bhalla,Female,47,New,Lucknow,Uttar Pradesh,North,2023-06-08
17,Diya Rattan,Female,40,New,Bhubaneswar,Odisha,East,2022-09-06
18,Divya Kala,Male,56,Regular,Hyderabad,Telangana,South,2022-11-16
19,Tara Dhar,Male,28,Regular,Coimbatore,Tamil Nadu,South,2024-10-24
20,Adya Sangha,Female,58,New,Surat,Gujarat,West,2022-11-10
21,Janaki Kanda,Male,32,Regular,Hyderabad,Telangana,South,2026-01-10
22,Yashodhara Tak,Female,35,New,Jaipur,Rajasthan,North,2026-07-11
23,Imaran Dua,Female,31,New,Chandigarh,Chandigarh,North,2021-12-28
24,Devansh Rajan,Female,27,Regular,Surat,Gujarat,West,2024-09-03
25,Zayan Apte,Male,65,Regular,Bhubaneswar,Odisha,East,2023-06-12
26,Amara Oak,Female,55,Regular,Guwahati,Assam,East,2024-12-08
27,Nakul Setty,Male,26,New,Ahmedabad,Gujarat,West,2022-02-03
28,Xiti Gokhale,Male,25,Regular,Mumbai,Maharashtra,West,2021-07-20
29,Chanchal Tripathi,Female,56,Regular,Chennai,Tamil Nadu,South,2024-01-28
30,Kashvi Edwin,Female,56,New,Lucknow,Uttar Pradesh,North,2024-07-31
31,Ekiya Suresh,Female,53,Regular,Indore,Madhya Pradesh,West,2024-03-26
32,Damyanti Khatri,Female,59,New,Delhi,Delhi,North,2021-08-19
33,Frederick Sunder,Female,45,New,Kolkata,West Bengal,East,2021-10-28
34,Kabir Soman,Male,64,Premium,Kochi,Kerala,South,2025-08-13
35,Alka Wable,Male,50,Premium,Guwahati,Assam,East,2026-04-09
36,Siddharth Zacharia,Male,27,Regular,Jaipur,Rajasthan,North,2025-11-24
37,Devika Rastogi,Male,56,New,Bhubaneswar,Odisha,East,2025-04-24
38,Raksha Varughese,Male,25,New,Ranchi,Jharkhand,East,2026-07-07
39,Umang Bhatt,Male,21,Regular,Patna,Bihar,East,2023-10-17
40,Thomas Amble,Male,23,Regular,Coimbatore,Tamil Nadu,South,2023-03-24
41,Veer Bir,Male,26,New,Mumbai,Maharashtra,West,2021-11-21
42,Ekavir Varkey,Male,34,Regular,Indore,Madhya Pradesh,West,2026-01-24
43,Tanish Zacharia,Male,63,New,Pune,Maharashtra,West,2022-09-22
44,Xavier Solanki,Female,46,Premium,Ranchi,Jharkhand,East,2022-03-13
45,Girindra Chatterjee,Male,32,New,Mumbai,Maharashtra,West,2025-07-29
46,Pallavi Roy,Male,55,Regular,Jaipur,Rajasthan,North,2024-10-30
47,Guneet Bhat,Male,18,New,Coimbatore,Tamil Nadu,South,2023-11-15
48,Ikbal Kothari,Male,22,Regular,Delhi,Delhi,North,2023-07-20
49,Logan Sami,Male,50,Regular,Jaipur,Rajasthan,North,2022-06-30
50,Zaid Borra,Female,31,New,Hyderabad,Telangana,South,2022-06-15
51,Chandresh Zachariah,Female,33,Premium,Coimbatore,Tamil Nadu,South,2023-10-02
52,Warjas Ganesan,Male,24,Regular,Surat,Gujarat,West,2025-09-19
53,Tanay Rattan,Female,45,Premium,Lucknow,Uttar Pradesh,North,2023-07-27
54,Ladli Agate,Male,61,Premium,Surat,Gujarat,West,2026-01-18
55,Suhani Mangal,Female,64,Regular,Delhi,Delhi,North,2026-06-19
56,Mohammed Gupta,Male,30,Premium,Kolkata,West Bengal,East,2023-08-26
57,Darsh Murthy,Female,26,New,Coimbatore,Tamil Nadu,South,2023-01-08
58,Yadavi Wali,Female,47,New,Pune,Maharashtra,West,2021-10-27
59,Quincy Biswas,Female,53,New,Bengaluru,Karnataka,South,2022-04-28
60,Netra Dar,Male,23,New,Delhi,Delhi,North,2024-07-06
61,Balveer Bumb,Female,49,Regular,Chennai,Tamil Nadu,South,2026-03-31
62,Advika Jayaraman,Female,21,New,Pune,Maharashtra,West,2023-08-19
63,William Lanka,Male,42,Regular,Kochi,Kerala,South,2024-11-19
64,Tanvi Mutti,Female,45,Regular,Ranchi,Jharkhand,East,2023-07-08
65,Aditya Shanker,Male,36,New,Pune,Maharashtra,West,2026-03-08
66,Ethan Yogi,Male,65,Regular,Bengaluru,Karnataka,South,2024-08-22
67,Kevin Palla,Male,55,New,Kolkata,West Bengal,East,2022-08-08
68,Kala Mane,Male,21,Regular,Indore,Madhya Pradesh,West,2025-12-10
69,Abhiram Mistry,Male,56,New,Chandigarh,Chandigarh,North,2022-04-29
70,Krish Lalla,Female,25,Premium,Chandigarh,Chandigarh,North,2026-03-13
71,Nachiket Magar,Male,57,Regular,Coimbatore,Tamil Nadu,South,2022-02-10
72,Hemal Jani,Female,34,New,Lucknow,Uttar Pradesh,North,2022-12-11
73,Yashasvi Suresh,Male,34,New,Hyderabad,Telangana,South,2024-12-22
74,George Sampath,Female,47,Regular,Pune,Maharashtra,West,2022-10-16
75,Aarush Nath,Male,47,Regular,Kolkata,West Bengal,East,2025-09-07
76,Neel Sathe,Male,50,Regular,Delhi,Delhi,North,2025-05-23
77,Aditya Choudhury,Female,22,Regular,Bhubaneswar,Odisha,East,2024-04-17
78,Balendra Pingle,Female,28,New,Hyderabad,Telangana,South,2021-11-29
79,Qushi Datta,Female,57,Regular,Indore,Madhya Pradesh,West,2024-06-13
80,Balveer Parmar,Female,60,New,Amritsar,Punjab,North,2021-09-29
81,Harshil Pandya,Female,25,Premium,Chandigarh,Chandigarh,North,2022-08-02
82,Mohammed Khalsa,Male,35,Regular,Amritsar,Punjab,North,2025-06-09
83,Nitara Bakshi,Male,63,New,Guwahati,Assam,East,2025-11-10
84,Nisha Kothari,Female,50,New,Bhubaneswar,Odisha,East,2022-06-07
85,Lavanya Barad,Male,23,New,Ahmedabad,Gujarat,West,2022-11-14
86,Ryan Sharma,Male,18,New,Ahmedabad,Gujarat,West,2025-10-30
87,Udant Bajwa,Female,28,Regular,Bhubaneswar,Odisha,East,2023-04-14
88,Falguni Mallick,Female,53,Regular,Indore,Madhya Pradesh,West,2024-11-01
89,Indali Upadhyay,Male,62,Premium,Delhi,Delhi,North,2025-11-10
90,Ayaan D’Alia,Male,41,Regular,Coimbatore,Tamil Nadu,South,2023-07-15
91,Pranav Lanka,Male,20,New,Kochi,Kerala,South,2025-12-03
92,Hemani Murthy,Male,40,Regular,Patna,Bihar,East,2021-09-22
93,Lekha Gupta,Male,40,Regular,Chennai,Tamil Nadu,South,2023-09-20
94,Aarav Venkatesh,Male,33,Regular,Indore,Madhya Pradesh,West,2022-10-23
95,Januja Sankar,Female,19,Regular,Chennai,Tamil Nadu,South,2026-03-02
96,Dipta Dash,Female,60,Regular,Hyderabad,Telangana,South,2021-11-19
97,Yashica More,Male,62,Regular,Hyderabad,Telangana,South,2025-02-18
98,Neha Merchant,Male,48,Regular,Lucknow,Uttar Pradesh,North,2024-11-14
99,Osha Raghavan,Female,40,New,Chennai,Tamil Nadu,South,2024-04-22
100,Charvi Ravi,Male,19,New,Bhubaneswar,Odisha,East,2024-12-03
101,Daksha Mangat,Female,35,New,Kochi,Kerala,South,2024-04-11
102,Udyati Sathe,Female,59,Regular,Jaipur,Rajasthan,North,2022-08-03
103,Yasti Solanki,Female,19,New,Indore,Madhya Pradesh,West,2023-09-30
104,Frado Mander,Male,55,Regular,Jaipur,Rajasthan,North,2025-07-04
105,Girik Keer,Male,56,Premium,Kolkata,West Bengal,East,2024-02-11
106,Rushil Din,Female,45,New,Ahmedabad,Gujarat,West,2024-11-25
107,Vaishnavi Bora,Male,34,Regular,Lucknow,Uttar Pradesh,North,2021-08-28
108,Leena Talwar,Male,51,Regular,Lucknow,Uttar Pradesh,North,2023-10-25
109,Abdul Chhabra,Female,22,New,Hyderabad,Telangana,South,2023-07-15
110,Patrick Vasa,Female,60,New,Guwahati,Assam,East,2025-06-06
111,Jairaj Shan,Female,60,New,Jaipur,Rajasthan,North,2023-11-10
112,Edhitha Savant,Female,62,New,Ahmedabad,Gujarat,West,2022-03-15
113,Sanaya Dutt,Male,30,Premium,Guwahati,Assam,East,2024-08-07
114,Shivani Lad,Male,57,Regular,Surat,Gujarat,West,2025-04-03
115,Vedhika Khare,Male,37,Regular,Ranchi,Jharkhand,East,2025-04-18
116,Bhavika Keer,Female,55,Premium,Bhubaneswar,Odisha,East,2022-11-28
117,Faris Devi,Female,46,Regular,Ranchi,Jharkhand,East,2022-11-23
118,Michael Kala,Female,65,New,Coimbatore,Tamil Nadu,South,2022-04-16
119,Ganga Shukla,Female,50,Premium,Bengaluru,Karnataka,South,2021-11-09
120,Osha Ramachandran,Male,61,Regular,Kolkata,West Bengal,East,2023-08-13
121,Lajita Sood,Male,27,Regular,Bhubaneswar,Odisha,East,2026-01-23
122,Chanchal Ramakrishnan,Male,48,Premium,Delhi,Delhi,North,2021-07-25
123,Thomas Sura,Female,58,New,Lucknow,Uttar Pradesh,North,2025-10-21
124,Vedika Balakrishnan,Female,43,New,Kochi,Kerala,South,2022-08-19
125,Noah Sibal,Male,24,New,Chennai,Tamil Nadu,South,2023-06-25
126,Meera Bala,Male,62,Regular,Pune,Maharashtra,West,2026-02-19
127,Krishna Shenoy,Male,25,Regular,Mumbai,Maharashtra,West,2021-12-15
128,Ladli Narang,Female,60,Premium,Pune,Maharashtra,West,2022-06-12
129,Geetika Raghavan,Female,53,New,Ranchi,Jharkhand,East,2022-08-05
130,Zayyan Bumb,Female,46,Regular,Pune,Maharashtra,West,2022-12-05
131,Inaya Kapur,Female,51,Regular,Bhubaneswar,Odisha,East,2023-11-21
132,Azaan Kota,Female,46,New,Pune,Maharashtra,West,2024-10-14
133,Michael Khare,Male,35,New,Jaipur,Rajasthan,North,2022-07-14
134,Tejas Shroff,Male,26,New,Patna,Bihar,East,2022-03-02
135,Oliver Contractor,Female,62,Premium,Chennai,Tamil Nadu,South,2025-01-12
136,Deepa Chokshi,Male,44,New,Chennai,Tamil Nadu,South,2025-06-05
137,Keya Ranganathan,Female,44,Regular,Ahmedabad,Gujarat,West,2024-06-06
138,Faqid Kibe,Female,42,Regular,Chandigarh,Chandigarh,North,2026-03-31
139,Jai Barman,Female,48,Regular,Amritsar,Punjab,North,2022-01-17
140,Kamala Biswas,Female,42,Premium,Jaipur,Rajasthan,North,2023-04-10
141,Advik Salvi,Male,49,Premium,Indore,Madhya Pradesh,West,2024-01-25
142,Rachita Pathak,Female,49,New,Hyderabad,Telangana,South,2025-08-25
143,Michael Saran,Female,60,Regular,Lucknow,Uttar Pradesh,North,2024-09-18
144,Veda Shroff,Female,26,New,Pune,Maharashtra,West,2022-06-01
145,Ekantika Korpal,Male,23,New,Lucknow,Uttar Pradesh,North,2023-09-18
146,Arya Seshadri,Female,29,New,Pune,Maharashtra,West,2025-09-09
147,Ladli Nayar,Female,38,Regular,Jaipur,Rajasthan,North,2022-10-03
148,Qabil Sura,Female,39,Regular,Kochi,Kerala,South,2021-09-05
149,Harini Mammen,Female,34,New,Ahmedabad,Gujarat,West,2022-08-06
150,Advaith Varughese,Male,65,New,Lucknow,Uttar Pradesh,North,2025-12-09
151,Wyatt Ray,Male,59,Premium,Jaipur,Rajasthan,North,2026-04-12
152,Vamakshi Swaminathan,Male,33,New,Delhi,Delhi,North,2023-12-24
153,Girik Menon,Male,33,New,Bengaluru,Karnataka,South,2023-10-11
154,Damini Pillay,Male,54,Regular,Kochi,Kerala,South,2022-08-23
155,Pavani Narayanan,Female,41,Premium,Kochi,Kerala,South,2023-11-26
156,Anika Mohan,Male,28,New,Coimbatore,Tamil Nadu,South,2023-04-18
157,Reyansh Mutti,Male,37,Regular,Kolkata,West Bengal,East,2022-10-17
158,Rehaan Kalita,Male,22,Regular,Surat,Gujarat,West,2022-02-18
159,Barkha Chaudhry,Female,61,New,Bengaluru,Karnataka,South,2025-03-25
160,Utkarsh Patel,Male,40,Regular,Amritsar,Punjab,North,2025-09-13
161,Jonathan Mahal,Male,50,Regular,Ahmedabad,Gujarat,West,2022-06-07
162,Brinda Date,Female,49,Regular,Kolkata,West Bengal,East,2021-10-06
163,Harshil Arora,Female,58,Regular,Lucknow,Uttar Pradesh,North,2024-09-22
164,Varenya Sastry,Female,29,Regular,Pune,Maharashtra,West,2024-05-28
165,Zayyan Sridhar,Female,47,New,Guwahati,Assam,East,2023-03-29
166,Nandini Swamy,Female,38,Regular,Indore,Madhya Pradesh,West,2022-02-08
167,Max Dixit,Female,46,New,Bengaluru,Karnataka,South,2021-11-27
168,Frederick Kothari,Female,39,New,Kochi,Kerala,South,2025-08-04
169,Upkaar Virk,Female,29,New,Lucknow,Uttar Pradesh,North,2022-02-16
170,Chameli Sanghvi,Female,34,Regular,Pune,Maharashtra,West,2023-06-09
171,Hardik Johal,Female,53,Regular,Patna,Bihar,East,2023-01-23
172,Finn Dugar,Male,23,New,Amritsar,Punjab,North,2024-08-30
173,Naksh Agate,Female,53,Regular,Kochi,Kerala,South,2022-09-26
174,Bishakha Bali,Female,46,New,Kochi,Kerala,South,2023-07-31
175,Sudiksha Bobal,Female,32,Regular,Delhi,Delhi,North,2022-09-10
176,Rudra Sandal,Female,60,New,Pune,Maharashtra,West,2024-12-21
177,Manthan Lata,Female,45,Regular,Ranchi,Jharkhand,East,2022-02-09
178,Darpan Gandhi,Female,35,Regular,Patna,Bihar,East,2025-09-02
179,Reva Dash,Male,25,Premium,Patna,Bihar,East,2025-07-02
180,Neha Magar,Male,65,New,Hyderabad,Telangana,South,2023-11-18
181,Raksha Buch,Male,65,New,Chennai,Tamil Nadu,South,2024-01-15
182,Ekantika Krishna,Female,24,New,Ahmedabad,Gujarat,West,2024-07-11
183,Ansh Luthra,Male,41,Premium,Hyderabad,Telangana,South,2021-08-31
184,Upma Venkataraman,Male,63,Premium,Hyderabad,Telangana,South,2024-06-01
185,Pratyush Sarin,Male,21,New,Hyderabad,Telangana,South,2024-10-17
